407783,686
9027324,28
8806056,394
38845,134
8765131,5986
962404,207
8864187,106
8774962,591
674496,1764
9093645,13
424754,18
9689577,1
9689584,2
1337,361
55296,391
1663835,64
2839419,5
3065697,915
9689814,1
9261156,7
1653977,15
8798590,32
8767472,343
12327,583
8784354,106
644988,20482
40444,317
86695,101
58892,35
8567,336
407923,1132
3112313,14
2839801,1
7043937,3
2839843,1
2527693,3
70133,78
8765703,7546
221339,58
9690218,1
9157370,12
2650575,5
9690309,1
9690337,1
21248,338
1416226,79
536616,37
8817675,143
9690473,2
1007253,33
20430,305
2109986,79
672266,13
2840269,2
135515,193
2840280,2
1734842,4
32524,623
8802104,140
1193600,501
9690651,1
938787,2
359939,9
2840531,2
55787,98
2338208,2
5827863,5
9690808,1
2185789,22
938154,3
1945279,5
9690944,1
9691044,2
2840922,1
1669443,2
9691195,3
9589113,12
567800,8371
729200,8
32872,216
10542,410
8977589,4
8860846,11
1148087,23
8866129,89
12748,65
213204,577
120680,95
60936,176
9003854,36
8828296,56
64417,186
70794,338
1213909,133
2526454,9
2842031,1
784076,121
38854,139
258302,259
9691501,3
8831370,28
8767476,827
2842304,3
9691572,1
9691824,1
8810953,56
2842841,5
8876536,22
4169099,42
952042,97
3271944,12
2519235,99
39746,15
15842,190
91229,73
13463,42
9328223,12
928300,22
287772,118
9692036,1
1898656,20
601229,73
6925191,6
9529159,3
8777940,344
2334080,29
2843120,1
565491,45
12071,314
80287,40
1376078,128
415711,43
2844595,1
1217770,679
8764099,156
3664219,5
7458659,4
9043892,6
8791398,43
1630340,28
9074009,17
5500679,20
8804314,273
285300,34
2208779,7
27424,52
8776854,441
934111,3
1672865,1
2460789,36
218182,168
500466,2
2880115,150
2845326,64
1209935,3
2845583,4
5599060,1
3360705,37
59309,69
2845934,1
1458382,27
5269217,1
9693245,1
8953579,4
8785641,38
1715400,105
9693367,1
8844614,53
9500073,8
9276175,7
9693583,3
247809,11
19914,21
2846352,1
432700,285
54927,48
15335,1191
552062,105
941,66
3181402,16
60434,57
2846392,103
716360,50
2846423,15
2846442,7
2846563,1
9693787,1
47375,766
9137863,2
8825111,42
9102100,12
6944,263
1186472,30
2056224,10
9694015,1
1427528,2
9176731,25
8777571,61
7339027,3
747440,8
547580,70
2846932,2
2847088,1
1068717,80
120346,42
2265479,5
2847177,1
9694176,1
8815820,30
1991637,1
847277,1
2466674,15
8770023,46
1064350,45
2847389,24
527114,29
1312121,8
702333,5
2847511,1
456245,16
270496,75
4268828,130
9694739,1
9694767,1
8966512,21
53606,233
56126,91
2847571,1
37280,116
37187,139
9694930,1
9157604,8
8796635,53
2847707,1
2847761,1
1315004,36
2848205,1
9695397,1
9695465,1
210714,4
599691,19
2992807,43
3142732,373
9011706,12
9695733,1
2346965,28
8979928,30
9695786,1
1124930,18
9316164,2
9695879,1
2863295,1
135961,190
2863292,1
9420549,6
736820,230
9696068,1
1086754,6
2863490,4
1371409,13
639329,72
631147,27
63909,39
1148740,16
8842144,38
2130960,2
994031,14
9696602,18
47420,73
265549,402
2863960,74
2151334,84
9696753,1
9696763,1
9650186,3
9174890,3
215880,16
5813144,3
2864123,1
9451688,6
642632,34
8839152,23
8794407,44
1150789,30
677828,8
9023048,16
112394,143
8790627,127
1491285,1
7718311,2
9697926,1
726076,13
9698232,2
170632,15
7051459,11
7091833,10
3027984,15
8827801,27
8866974,89
9153066,18
2514040,18
1064530,462
732418,11
8806615,18
1903454,39
1214659,5
657777,77
954318,1
7948854,6
625304,6
9140665,10
9139636,6
1018907,37
422290,149
8821417,41
4278766,2
8839622,16
8319797,11
2866349,1
5783387,3
103354,15
568616,5
2098386,2
489792,3
16951,257
2866558,11
399503,34
44632,40
589893,4
56383,339
447574,74
2812263,11
41629,529
14374,539
230681,523
13787,227
79429,125
11319,100
568238,9
8799235,19
252432,69
8903154,36
9691445,1
33933,48
2844413,1
377050,1398
4841914,1
2845088,1
8774438,176
9692601,1
8912427,24
4677265,26
8908638,9
2846309,1
4274216,1
8903138,5
93688,103
653265,29
8869392,3
2997253,2
1365885,13
1558498,35
2847329,1
9694549,1
2847663,2
8772597,227
9695183,1
115700,6
2863028,4
8825864,122
9695572,1
1432014,64
8773873,76
376710,53
9696700,1
3329099,3
8796752,34
9697284,1
8828175,158
129269,126
8818321,39
2864588,1
1459748,2
9698135,1
2684488,11
662402,76
95093,131
1074307,71
37420,556
8793674,226
8372400,4
1825783,25
1572590,71
2866616,30
388490,7
6431,21
1133329,29
662717,44
1901533,38
2604676,100
22926,106
2870310,1
8802099,26
110042,36
28284,24
907955,8
2870519,1
1218628,8
3192818,30
2151154,6
33139,94
85198,44
102961,171
8725972,12
1283774,62
8992268,34
1818219,107
681864,84
8886964,118
2274105,8
15830,151
269952,636
9553289,3
3110069,2
9699685,1
658711,53
1368069,3
1287213,74
1352694,20
116665,22
1984004,15
409807,6
2515823,28
228301,82
2292121,6
114627,64
1484680,49
20072,63
591292,58
265116,243
387577,367
1498662,84
1290806,12
1239,129
1316219,179
654133,23
194978,393
213219,155
218057,545
793775,268
1851600,111
2871990,30
2872079,37
928692,12
2872128,7
292591,9
1959575,195
929007,33
565519,285
195272,300
1291989,9
269712,274
682113,391
1296265,18
223517,142
2872407,68
207870,273
2872484,3
1680077,35
1740977,25
1219818,15
2872596,1
2086278,73
63179,13
8793670,34
2872865,6
922924,4
2873004,2
5541943,4
121117,25
9337739,7
2861704,6
412629,7
2827751,10
191897,20
1199540,27
2274111,22
1823643,14
5416,36
985415,45
7418427,19
5390,1
1218835,18
301451,3
454434,55
723159,17
8915139,34
3141755,111
1687007,3
1688813,3
9700385,4
9185165,6
2110993,97
1689203,115
1218937,92
568197,28
1823893,118
611373,8
200343,41
528833,60
1051447,5
709554,9
9700683,1
903419,1
4981599,11
2339121,11
1635619,302
4626211,24
2208864,43
44422,5
8869423,29
559377,10
84834,46
8850947,20
2641144,59
9116244,9
291334,35
4956529,9
2879197,2
8825855,49
5008282,2
160422,155
9701102,1
2879595,6
1627395,9
2071112,16
2683341,400
9701139,2
8144398,54
